EDEC,N,iteration,Loss,sprd,fm,bvn,ttc,m,dm,fail,rrate,pl,ratio,dd,ad,w,t,c
  1, 5,199,0.0%, 5, 1, 1, 2199744,38.15, 5.88,40.00,0.320, 20000, 4.77, 0.00, 0.00, 942, 942,   0
  1, 5,187,0.5%, 5, 1, 1, 1838116,35.17, 5.43,31.00,0.353, 20000, 5.71, 0.00, 0.00, 942, 854,  88
  1, 5,161,1.0%, 5, 1, 1, 1560648,30.77, 5.18,25.00,0.340, 20000, 6.73, 0.00, 0.00, 942, 780, 162
  1, 5,111,1.5%, 5, 1, 1,  963214,21.67, 3.72,13.00,0.414, 20000,10.90, 0.00, 0.00, 942, 718, 224
  1, 5,125,2.0%, 5, 1, 1, 1073983,23.27, 4.07,13.00,0.400, 20000, 9.78, 0.00, 0.00, 942, 679, 263
  1, 5,132,2.5%, 5, 1, 1, 1310164,25.20, 4.47,11.00,0.377, 20000, 8.01, 0.00, 0.00, 942, 636, 306
  1, 5,154,3.0%, 5, 1, 1, 1596829,29.80, 5.05,13.00,0.385, 20000, 6.58, 0.00, 0.00, 942, 584, 358
  1, 5,130,3.5%, 5, 1, 1, 1285653,24.10, 3.92, 7.00,0.410, 20000, 8.17, 0.00, 0.00, 942, 520, 422
  1, 5,112,4.0%, 5, 1, 1, 1047951,21.12, 3.55, 8.00,0.411, 20000,10.02, 0.00, 0.00, 942, 468, 474
  1, 5, 89,4.5%, 5, 1, 1,  717018,17.17, 3.25, 5.00,0.447, 20000,14.64, 0.00, 0.00, 942, 426, 516
  1, 5, 77,5.0%, 5, 1, 1,  536401,14.23, 2.65, 1.00,0.474, 20000,19.57, 0.00, 0.00, 942, 398, 544
  1, 5, 99,5.5%, 5, 1, 1,  691653,18.52, 3.28, 3.00,0.472, 20000,15.18, 0.00, 0.00, 942, 376, 566
  1, 5, 99,6.0%, 5, 1, 1,  725579,18.35, 3.20, 5.00,0.404, 20000,14.47, 0.00, 0.00, 942, 348, 594
  1, 5, 95,6.5%, 5, 1, 1,  926763,18.67, 3.35, 5.00,0.437, 20000,11.33, 0.00, 0.00, 942, 319, 623
  1, 5, 85,7.0%, 5, 1, 1, 1037469,18.25, 3.12, 6.00,0.518, 20000,10.12, 0.00, 0.00, 942, 282, 660
  1, 5, 85,7.5%, 5, 1, 1,  666579,16.83, 3.00, 3.00,0.479, 20000,15.75, 0.00, 0.00, 942, 241, 701
  1, 5, 75,8.0%, 5, 1, 1,  965130,16.10, 3.00, 2.00,0.490, 20000,10.88, 0.00, 0.00, 942, 214, 728
  1, 5, 70,8.5%, 5, 1, 1,  459305,13.82, 2.62, 1.00,0.504, 20000,22.86, 0.00, 0.00, 942, 175, 767
  1, 5, 81,9.0%, 5, 1, 1, 1050646,17.02, 2.85, 4.00,0.472, 20000, 9.99, 0.00, 0.00, 942, 157, 785
  1, 5, 73,9.5%, 5, 1, 1,  537425,14.30, 2.55, 2.00,0.459, 20000,19.54, 0.00, 0.00, 942, 115, 827
  1, 5, 85,10.0%, 5, 1, 1, 1065200,17.85, 3.00, 6.00,0.482, 20000, 9.86, 0.00, 0.00, 942,  93, 849
  1, 5, 75,10.5%, 5, 1, 1,  539762,14.62, 2.75, 2.00,0.473, 20000,19.45, 0.00, 0.00, 942,  51, 891
