EDEC,N,iteration,Loss,sprd,fm,bvn,ttc,m,dm,fail,rrate,pl,ratio,dd,ad,w,t,c
  1, 5,196,0.0%, 5, 1, 1, 2164632,37.70, 5.85,40.00,0.300, 20000, 4.85, 0.00, 0.00, 970, 970,   0
  1, 5,189,0.5%, 5, 1, 1, 1874135,35.42, 5.68,31.00,0.307, 20000, 5.60, 0.00, 0.00, 970, 883,  87
  1, 5,163,1.0%, 5, 1, 1, 1516230,30.17, 5.05,21.00,0.310, 20000, 6.93, 0.00, 0.00, 970, 808, 162
  1, 5,151,1.5%, 5, 1, 1, 1440755,28.60, 5.12,23.00,0.311, 20000, 7.29, 0.00, 0.00, 970, 747, 223
  1, 5,131,2.0%, 5, 1, 1, 1201721,24.52, 4.18,17.00,0.342, 20000, 8.74, 0.00, 0.00, 970, 690, 280
  1, 5,117,2.5%, 5, 1, 1, 1000370,22.12, 4.12,11.00,0.385, 20000,10.50, 0.00, 0.00, 970, 642, 328
  1, 5, 95,3.0%, 5, 1, 1,  728016,17.38, 3.08, 6.00,0.371, 20000,14.42, 0.00, 0.00, 970, 602, 368
  1, 5, 96,3.5%, 5, 1, 1,  763075,17.77, 3.22, 8.00,0.354, 20000,13.76, 0.00, 0.00, 970, 572, 398
  1, 5, 93,4.0%, 5, 1, 1,  671560,16.98, 3.03, 4.00,0.403, 20000,15.64, 0.00, 0.00, 970, 542, 428
  1, 5, 97,4.5%, 5, 1, 1,  852691,18.20, 3.30, 6.00,0.379, 20000,12.31, 0.00, 0.00, 970, 515, 455
  1, 5, 92,5.0%, 5, 1, 1,  701507,17.23, 3.20, 5.00,0.405, 20000,14.97, 0.00, 0.00, 970, 481, 489
  1, 5, 84,5.5%, 5, 1, 1, 1079943,17.60, 2.80, 6.00,0.440, 20000, 9.72, 0.00, 0.00, 970, 453, 517
  1, 5, 89,6.0%, 5, 1, 1, 1040566,17.92, 3.05, 5.00,0.419, 20000,10.09, 0.00, 0.00, 970, 409, 561
  1, 5, 80,6.5%, 5, 1, 1,  679446,15.35, 2.97, 2.00,0.419, 20000,15.45, 0.00, 0.00, 970, 368, 602
  1, 5, 88,7.0%, 5, 1, 1, 1016140,17.02, 3.03, 1.00,0.398, 20000,10.33, 0.00, 0.00, 970, 340, 630
  1, 5, 84,7.5%, 5, 1, 1,  618701,16.70, 3.17, 4.00,0.446, 20000,16.97, 0.00, 0.00, 970, 300, 670
  1, 5, 81,8.0%, 5, 1, 1, 1027334,16.40, 3.00, 2.00,0.435, 20000,10.22, 0.00, 0.00, 970, 275, 695
  1, 5, 72,8.5%, 5, 1, 1,  453110,13.75, 2.67, 0.00,0.451, 20000,23.17, 0.00, 0.00, 970, 234, 736
  1, 5, 58,9.0%, 5, 1, 1,  930345,12.48, 2.00, 2.00,0.491, 20000,11.29, 0.00, 0.00, 970, 216, 754
  1, 5, 58,9.5%, 5, 1, 1,  341056,11.00, 1.85, 0.00,0.461, 20000,30.79, 0.00, 0.00, 970, 178, 792
  1, 5, 59,10.0%, 5, 1, 1,  973180,12.62, 1.95, 0.00,0.466, 20000,10.79, 0.00, 0.00, 970, 165, 805
  1, 5, 68,10.5%, 5, 1, 1,  459305,13.27, 2.80, 1.00,0.445, 20000,22.86, 0.00, 0.00, 970, 126, 844
  1, 5, 77,11.0%, 5, 1, 1, 1079466,16.23, 3.22, 0.00,0.416, 20000, 9.73, 0.00, 0.00, 970, 107, 863
  1, 5, 63,11.5%, 5, 1, 1,  502447,12.82, 2.55, 1.00,0.464, 20000,20.90, 0.00, 0.00, 970,  64, 906
