EDEC,N,iteration,Loss,sprd,fm,bvn,ttc,m,dm,fail,rrate,pl,ratio,dd,ad,w,t,c
  1, 5, 72,0.0%, 5, 1, 2,  318834,11.15, 2.17, 0.00,0.510, 20000,32.93, 0.00, 0.00, 242, 242,   0
  1, 5, 88,0.5%, 5, 1, 2,  396575,14.73, 2.92, 0.00,0.551, 20000,26.48, 0.00, 0.00, 242, 229,  13
  1, 5, 78,1.0%, 5, 1, 2,  364243,13.20, 2.47, 1.00,0.558, 20000,28.83, 0.00, 0.00, 242, 213,  29
  1, 5, 75,1.5%, 5, 1, 2,  311367,12.55, 2.53, 0.00,0.560, 20000,33.72, 0.00, 0.00, 242, 198,  44
  1, 5, 71,2.0%, 5, 1, 2,  304297,11.88, 2.35, 0.00,0.563, 20000,34.51, 0.00, 0.00, 242, 186,  56
  1, 5, 64,2.5%, 5, 1, 2,  229021,10.73, 2.22, 0.00,0.574, 20000,45.85, 0.00, 0.00, 242, 174,  68
  1, 5, 69,3.0%, 5, 1, 2,  280332,11.65, 2.38, 0.00,0.569, 20000,37.46, 0.00, 0.00, 242, 164,  78
  1, 5, 75,3.5%, 5, 1, 2,  343816,13.15, 2.55, 0.00,0.560, 20000,30.54, 0.00, 0.00, 242, 153,  89
  1, 5, 68,4.0%, 5, 1, 2,  295386,11.82, 2.35, 0.00,0.585, 20000,35.55, 0.00, 0.00, 242, 139, 103
  1, 5, 83,4.5%, 5, 1, 2, 1003949,16.35, 2.80, 1.00,0.548, 20000,10.46, 0.00, 0.00, 242, 127, 115
  1, 5, 92,5.0%, 5, 1, 2,  543764,17.23, 3.15, 0.00,0.579, 20000,19.31, 0.00, 0.00, 242,  87, 155
  1, 5, 91,5.5%, 5, 1, 2, 1110829,18.50, 3.10, 1.00,0.588, 20000, 9.45, 0.00, 0.00, 242,  66, 176
  1, 5, 87,6.0%, 5, 1, 2,  498934,15.90, 3.12, 0.00,0.560, 20000,21.04, 0.00, 0.00, 242,  21, 221
  1, 5, 77,6.5%, 5, 1, 2, 1042644,15.60, 2.45, 0.00,0.591, 20000,10.07, 0.00, 0.00, 242,   1, 241
  1, 5, 64,7.0%, 5, 1, 2,  292693,11.60, 2.17, 0.00,0.605, 20000,35.87, 0.00, 0.00, 242, -41, 283
  1, 5, 74,7.5%, 5, 1, 2, 1099532,15.10, 2.38, 1.00,0.554, 20000, 9.55, 0.00, 0.00, 242, -53, 295
  1, 5, 76,8.0%, 5, 1, 2,  388593,13.80, 2.75, 0.00,0.586, 20000,27.02, 0.00, 0.00, 242, -97, 339
  1, 5, 59,8.5%, 5, 1, 2,  957216,11.60, 2.30, 0.00,0.534, 20000,10.97, 0.00, 0.00, 242,-112, 354
  1, 5, 65,9.0%, 5, 1, 2,  330774,12.12, 2.38, 1.00,0.565, 20000,31.74, 0.00, 0.00, 242,-150, 392
  1, 5, 60,9.5%, 5, 1, 2,  272147,11.23, 2.10, 0.00,0.587, 20000,38.58, 0.00, 0.00, 242,-164, 406
  1, 5, 77,10.0%, 5, 1, 2, 1268382,16.73, 2.83, 1.00,0.604, 20000, 8.28, 0.00, 0.00, 242,-175, 417
  1, 5, 65,10.5%, 5, 1, 2,  381429,12.88, 2.55, 0.00,0.619, 20000,27.53, 0.00, 0.00, 242,-225, 467
  1, 5, 85,11.0%, 5, 1, 2,  839603,17.00, 3.17, 0.00,0.568, 20000,12.51, 0.00, 0.00, 242,-241, 483
  1, 5, 70,11.5%, 5, 1, 2,  374632,13.52, 2.62, 0.00,0.607, 20000,28.03, 0.00, 0.00, 242,-274, 516
