EDEC,N,iteration,Loss,sprd,fm,bvn,ttc,m,dm,fail,rrate,pl,ratio,dd,ad,w,t,c
  1, 4, 78,0.0%, 4, 1, 1, 2083403,30.10, 4.75,20.00,0.444, 20000, 4.99, 0.00, 0.00, 258, 258,   0
  1, 4, 80,0.5%, 4, 1, 1, 1765035,30.00, 4.75,20.00,0.425, 20000, 5.89, 0.00, 0.00, 258, 216,  42
  1, 4, 79,1.0%, 4, 1, 1, 1722305,30.05, 4.90,19.00,0.451, 20000, 6.04, 0.00, 0.00, 258, 181,  77
  1, 4, 79,1.5%, 4, 1, 1, 1647345,29.25, 4.55,16.00,0.473, 20000, 6.31, 0.00, 0.00, 258, 147, 111
  1, 4, 66,2.0%, 4, 1, 1, 1294200,24.80, 3.90,12.00,0.500, 20000, 8.04, 0.00, 0.00, 258, 114, 144
  1, 4, 62,2.5%, 4, 1, 1, 1236732,23.25, 3.65,12.00,0.441, 20000, 8.41, 0.00, 0.00, 258,  88, 170
  1, 4, 61,3.0%, 4, 1, 1, 1114745,22.70, 4.05, 8.00,0.492, 20000, 9.33, 0.00, 0.00, 258,  63, 195
  1, 4, 59,3.5%, 4, 1, 1, 1062340,22.10, 3.70, 7.00,0.565, 20000, 9.79, 0.00, 0.00, 258,  41, 217
  1, 4, 49,4.0%, 4, 1, 1,  869361,17.95, 3.00, 5.00,0.503, 20000,11.96, 0.00, 0.00, 258,  19, 239
  1, 4, 54,4.5%, 4, 1, 1,  876813,19.70, 3.75, 5.00,0.494, 20000,11.86, 0.00, 0.00, 258,   2, 256
  1, 4, 57,5.0%, 4, 1, 1, 1030815,20.90, 3.45, 7.00,0.550, 20000,10.09, 0.00, 0.00, 258, -16, 274
  1, 4, 43,5.5%, 4, 1, 1,  849237,16.80, 2.70, 7.00,0.581, 20000,12.25, 0.00, 0.00, 258, -36, 294
  1, 4, 43,6.0%, 4, 1, 1,  767090,16.40, 2.75, 6.00,0.504, 20000,13.56, 0.00, 0.00, 258, -53, 311
  1, 4, 49,6.5%, 4, 1, 1, 1136841,19.00, 3.10, 6.00,0.517, 20000, 9.15, 0.00, 0.00, 258, -69, 327
  1, 4, 45,7.0%, 4, 1, 1,  806285,17.25, 2.95, 3.00,0.600, 20000,12.90, 0.00, 0.00, 258, -92, 350
  1, 4, 55,7.5%, 4, 1, 1,  897734,21.40, 4.10, 4.00,0.624, 20000,11.58, 0.00, 0.00, 258,-108, 366
  1, 4, 54,8.0%, 4, 1, 1, 1442823,22.15, 3.50, 8.00,0.580, 20000, 7.21, 0.00, 0.00, 258,-126, 384
  1, 4, 48,8.5%, 4, 1, 1,  819193,18.70, 3.20, 6.00,0.569, 20000,12.70, 0.00, 0.00, 258,-155, 413
  1, 4, 50,9.0%, 4, 1, 1,  876325,19.25, 3.15, 6.00,0.600, 20000,11.87, 0.00, 0.00, 258,-171, 429
  1, 4, 43,9.5%, 4, 1, 1,  659258,16.40, 3.05, 3.00,0.597, 20000,15.78, 0.00, 0.00, 258,-189, 447
  1, 4, 36,10.0%, 4, 1, 1,  610022,14.50, 2.60, 4.00,0.630, 20000,17.05, 0.00, 0.00, 258,-202, 460
  1, 4, 29,10.5%, 4, 1, 1,  350546,11.20, 2.05, 0.00,0.667, 20000,29.67, 0.00, 0.00, 258,-214, 472
  1, 4, 29,11.0%, 4, 1, 1,  384431,11.15, 1.75, 1.00,0.678, 20000,27.05, 0.00, 0.00, 258,-221, 479
  1, 4, 32,11.5%, 4, 1, 1,  446840,12.90, 2.15, 2.00,0.615, 20000,23.27, 0.00, 0.00, 258,-229, 487
  1, 4, 37,12.0%, 4, 1, 1,  568882,14.80, 2.65, 2.00,0.622, 20000,18.28, 0.00, 0.00, 258,-238, 496
  1, 4, 41,12.5%, 4, 1, 1,  724688,16.90, 3.70, 1.00,0.650, 20000,14.35, 0.00, 0.00, 258,-250, 508
  1, 4, 57,13.0%, 4, 1, 1,  928670,21.50, 3.90, 4.00,0.550, 20000,11.20, 0.00, 0.00, 258,-264, 522
  1, 4, 46,13.5%, 4, 1, 1,  805518,17.60, 3.00, 3.00,0.580, 20000,12.91, 0.00, 0.00, 258,-283, 541
  1, 4, 39,14.0%, 4, 1, 1,  655373,15.30, 2.65, 2.00,0.658, 20000,15.87, 0.00, 0.00, 258,-299, 557
  1, 4, 40,14.5%, 4, 1, 1,  639593,15.70, 2.70, 3.00,0.667, 20000,16.26, 0.00, 0.00, 258,-312, 570
  1, 4, 43,15.0%, 4, 1, 1,  679904,16.80, 2.85, 3.00,0.667, 20000,15.30, 0.00, 0.00, 258,-325, 583
  1, 4, 43,15.5%, 4, 1, 1,  751780,17.35, 3.20, 2.00,0.651, 20000,13.83, 0.00, 0.00, 258,-338, 596
  1, 4, 41,16.0%, 4, 1, 1,  751572,17.00, 3.25, 2.00,0.634, 20000,13.84, 0.00, 0.00, 258,-354, 612
  1, 4, 35,16.5%, 4, 1, 1,  581625,13.95, 2.85, 2.00,0.590, 20000,17.88, 0.00, 0.00, 258,-369, 627
  1, 4, 45,17.0%, 4, 1, 1, 1211506,18.25, 3.00, 3.00,0.548, 20000, 8.58, 0.00, 0.00, 258,-380, 638
  1, 4, 36,17.5%, 4, 1, 1,  640490,14.75, 2.65, 2.00,0.611, 20000,16.24, 0.00, 0.00, 258,-405, 663
  1, 4, 38,18.0%, 4, 1, 1,  591968,14.95, 2.75, 0.00,0.640, 20000,17.57, 0.00, 0.00, 258,-418, 676
  1, 4, 33,18.5%, 4, 1, 1,  582429,13.90, 2.75, 2.00,0.657, 20000,17.86, 0.00, 0.00, 258,-429, 687
  1, 4, 35,19.0%, 4, 1, 1,  624095,14.65, 2.55, 4.00,0.657, 20000,16.66, 0.00, 0.00, 258,-441, 699
  1, 4, 34,19.5%, 4, 1, 1,  553128,13.80, 2.50, 3.00,0.647, 20000,18.80, 0.00, 0.00, 258,-454, 712
  1, 4, 42,20.0%, 4, 1, 1,  732205,16.45, 2.95, 3.00,0.611, 20000,14.20, 0.00, 0.00, 258,-465, 723
  1, 4, 44,20.5%, 4, 1, 1,  734782,17.70, 3.15, 3.00,0.667, 20000,14.15, 0.00, 0.00, 258,-479, 737
  1, 4, 44,21.0%, 4, 1, 1,  764567,17.80, 3.20, 3.00,0.682, 20000,13.60, 0.00, 0.00, 258,-494, 752
  1, 4, 39,21.5%, 4, 1, 1,  683939,16.25, 3.30, 2.00,0.667, 20000,15.21, 0.00, 0.00, 258,-510, 768
  1, 4, 36,22.0%, 4, 1, 1,  536798,14.40, 2.70, 1.00,0.685, 20000,19.37, 0.00, 0.00, 258,-523, 781
