EDEC,N,iteration,Loss,sprd,fm,bvn,ttc,m,dm,fail,rrate,pl,ratio,dd,ad,w,t,c
  1, 5,  6,0.0%, 5, 1, 2, 1586905, 9.20, 1.20, 0.00,0.458, 20000, 6.62, 0.00, 0.00, 510, 510,   0
  1, 5,  5,0.5%, 5, 1, 2,   21768, 5.00, 1.00, 0.00,0.500, 20000,482.36, 0.00, 0.00, 510, 502,   8
  1, 5,  5,1.0%, 5, 1, 2,   23537, 5.00, 1.00, 0.00,0.500, 20000,446.11, 0.00, 0.00, 510, 501,   9
  1, 5,  5,1.5%, 5, 1, 2,   22395, 5.00, 1.00, 0.00,0.500, 20000,468.85, 0.00, 0.00, 510, 501,   9
  1, 5,  5,2.0%, 5, 1, 2,  122337, 5.40, 1.20, 0.00,0.500, 20000,85.83, 0.00, 0.00, 510, 501,   9
  1, 5,  7,2.5%, 5, 1, 2,  365409, 9.60, 2.20, 0.00,0.571, 20000,28.73, 0.00, 0.00, 510, 500,  10
  1, 5, 16,3.0%, 5, 1, 2,  904004,24.40, 4.80, 0.00,0.594, 20000,11.61, 0.00, 0.00, 510, 499,  11
  1, 5, 10,3.5%, 5, 1, 2,  381140,14.60, 2.80, 0.00,0.550, 20000,27.55, 0.00, 0.00, 510, 494,  16
  1, 5,  5,4.0%, 5, 1, 2,  120944, 7.40, 1.20, 0.00,0.700, 20000,86.82, 0.00, 0.00, 510, 492,  18
  1, 5,  5,4.5%, 5, 1, 2,   56292, 6.40, 1.40, 0.00,0.600, 20000,186.53, 0.00, 0.00, 510, 491,  19
  1, 5,  5,5.0%, 5, 1, 2,   86674, 6.80, 1.20, 0.00,0.650, 20000,121.14, 0.00, 0.00, 510, 491,  19
  1, 5,  5,5.5%, 5, 1, 2,   54290, 6.20, 1.20, 0.00,0.600, 20000,193.41, 0.00, 0.00, 510, 491,  19
  1, 5,  5,6.0%, 5, 1, 2,   38983, 5.80, 1.40, 0.00,0.550, 20000,269.35, 0.00, 0.00, 510, 490,  20
  1, 5,  5,6.5%, 5, 1, 2,   53697, 5.80, 1.20, 0.00,0.550, 20000,195.54, 0.00, 0.00, 510, 490,  20
  1, 5,  6,7.0%, 5, 1, 2,  197143, 7.20, 1.40, 0.00,0.458, 20000,53.26, 0.00, 0.00, 510, 489,  21
  1, 5,  5,7.5%, 5, 1, 2,   21100, 5.00, 1.00, 0.00,0.500, 20000,497.63, 0.00, 0.00, 510, 488,  22
  1, 5,  5,8.0%, 5, 1, 2,   41398, 5.20, 1.00, 0.00,0.500, 20000,253.64, 0.00, 0.00, 510, 488,  22
  1, 5,  5,8.5%, 5, 1, 2,   41016, 5.20, 1.00, 0.00,0.500, 20000,256.00, 0.00, 0.00, 510, 488,  22
  1, 5,  5,9.0%, 5, 1, 2,   55961, 5.80, 1.00, 0.00,0.500, 20000,187.63, 0.00, 0.00, 510, 488,  22
  1, 5,  6,9.5%, 5, 1, 2,  137618, 8.60, 1.60, 0.00,0.542, 20000,76.30, 0.00, 0.00, 510, 487,  23
  1, 5,  6,10.0%, 5, 1, 2,  130985, 7.60, 1.60, 0.00,0.500, 20000,80.16, 0.00, 0.00, 510, 487,  23
  1, 5,  6,10.5%, 5, 1, 2,  141040, 7.80, 1.40, 0.00,0.542, 20000,74.45, 0.00, 0.00, 510, 486,  24
  1, 5,  6,11.0%, 5, 1, 2,  189816, 8.80, 1.40, 0.00,0.542, 20000,55.32, 0.00, 0.00, 510, 485,  25
  1, 5, 11,11.5%, 5, 1, 2,  509748,17.20, 2.80, 0.00,0.545, 20000,20.60, 0.00, 0.00, 510, 484,  26
  1, 5,  6,12.0%, 5, 1, 2,  221415, 8.80, 2.00, 0.00,0.458, 20000,47.42, 0.00, 0.00, 510, 482,  28
  1, 5,  6,12.5%, 5, 1, 2,  291134, 9.60, 1.20, 0.00,0.542, 20000,36.07, 0.00, 0.00, 510, 480,  30
  1, 5, 10,13.0%, 5, 1, 2,  541502,15.40, 2.20, 1.00,0.550, 20000,19.39, 0.00, 0.00, 510, 479,  31
  1, 5,  7,13.5%, 5, 1, 2,  300700,10.80, 1.60, 0.00,0.607, 20000,34.92, 0.00, 0.00, 510, 476,  34
  1, 5,  6,14.0%, 5, 1, 2,  187765, 8.60, 1.20, 0.00,0.583, 20000,55.92, 0.00, 0.00, 510, 475,  35
  1, 5,  7,14.5%, 5, 1, 2,  258196,10.40, 1.60, 0.00,0.643, 20000,40.67, 0.00, 0.00, 510, 474,  36
  1, 5,  8,15.0%, 5, 1, 2,  390080,12.00, 2.40, 0.00,0.531, 20000,26.92, 0.00, 0.00, 510, 472,  38
  1, 5,  8,15.5%, 5, 1, 2,  462109,14.60, 3.00, 0.00,0.656, 20000,22.72, 0.00, 0.00, 510, 470,  40
  1, 5,  6,16.0%, 5, 1, 2,  222071,10.20, 2.00, 0.00,0.667, 20000,47.28, 0.00, 0.00, 510, 468,  42
  1, 5,  6,16.5%, 5, 1, 2,  231088,10.40, 2.00, 0.00,0.583, 20000,45.44, 0.00, 0.00, 510, 467,  43
  1, 5,  5,17.0%, 5, 1, 2,  356055, 8.40, 1.60, 0.00,0.500, 20000,29.49, 0.00, 0.00, 510, 465,  45
  1, 5,  7,17.5%, 5, 1, 2,  387556,11.00, 1.80, 0.00,0.536, 20000,27.09, 0.00, 0.00, 510, 464,  46
  1, 5,  8,18.0%, 5, 1, 2,  640932,12.80, 1.80, 0.00,0.562, 20000,16.38, 0.00, 0.00, 510, 462,  48
  1, 5, 10,18.5%, 5, 1, 2,  548787,15.80, 3.00, 0.00,0.475, 20000,19.13, 0.00, 0.00, 510, 458,  52
  1, 5,  8,19.0%, 5, 1, 2,  344972,14.40, 2.80, 0.00,0.562, 20000,30.44, 0.00, 0.00, 510, 455,  55
  1, 5, 10,19.5%, 5, 1, 2,  811713,21.00, 4.80, 0.00,0.625, 20000,12.94, 0.00, 0.00, 510, 454,  56
